topic	term	beta
1	still	0.112706381609043
1	tax	0.103314511465233
1	pay	0.0737674793721683
2	work	0.236996864197514
2	take	0.139987696797527
2	hope	0.0931050181413231
3	get	0.328992590580786
3	start	0.110071887306006
3	tri	0.102021041760004
4	year	0.122000748348138
4	first	0.0848335082064304
4	best	0.0707768479768261
5	real	0.150416493669522
5	miss	0.0347834917349253
5	follow	0.0332559705237932
6	even	0.218190172099967
6	ani	0.16502509341359
6	use	0.127189175214863
7	trump	0.228591269595229
7	great	0.140393505829378
7	presid	0.095623047955672
8	shop	0.063084580153794
8	busi	0.0437758596346006
8	area	0.0349506570114627
9	lot	0.134695609196537
9	mind	0.06458340699867
9	lost	0.043503536363272
10	got	0.194063594684431
10	kid	0.047367262909922
10	side	0.0423105729872626
11	come	0.221395398107998
11	tell	0.14204844432663
11	truth	0.0423306698454361
12	just	0.319385831977259
12	whi	0.179634855152803
12	show	0.0653380966600451
13	jay	0.0608717995348093
13	music	0.0589181747650587
13	song	0.0518460036449734
14	know	0.405123723869283
14	now	0.236486042814368
14	yeah	0.0623195582211967
15	make	0.239833866408659
15	want	0.194100896880155
15	money	0.119098304557231
16	cop	0.0910294223161402
16	store	0.0902200744048856
16	polic	0.0499499880763136
17	will	0.39186528288342
17	chang	0.0672801459526004
17	millionair	0.0478651734392577
18	video	0.281359195766648
18	realli	0.092644634011794
18	watch	0.0756429977285732
19	talk	0.137326309778111
19	comment	0.103576623564296
19	understand	0.0755159344893222
20	end	0.0847284749817676
20	hous	0.0576003360324458
20	break	0.031550955238749
21	especi	0.0582764468722007
21	high	0.0556634280862903
21	minor	0.0535921521517249
22	peopl	0.461563549771348
22	white	0.182936458138397
22	think	0.112655860620111
23	actual	0.117551498339432
23	part	0.0921786520583872
23	tyler	0.0382502233155529
24	god	0.197661649211801
24	bless	0.143440568041713
24	pull	0.0165040490401212
25	say	0.299634913318822
25	person	0.160564342196845
25	give	0.148729257708655
26	cant	0.181051623574276
26	wait	0.0722051142841952
26	ftp	0.0659700111867931
27	alway	0.16042776500487
27	move	0.0604105427019857
27	wealth	0.0523767851538776
28	don’t	0.156095748407389
28	live	0.147742756932617
28	mean	0.105078611175202
29	american	0.168591925923123
29	america	0.126060083044517
29	african	0.0597288335009971
30	lol	0.131536716922244
30	sure	0.111377799268512
30	dude	0.0500820186173878
31	need	0.28266565010993
31	see	0.228661069107574
31	help	0.0970330623996879
32	much	0.19029050550747
32	beauti	0.114989318343414
32	messag	0.0839926723605065
33	black	0.669261952095087
33	communiti	0.074100258397391
33	asian	0.0338699663672745
34	racist	0.264045741864696
34	everyth	0.12777241954587
34	men	0.103236461808387
35	countri	0.069836675534398
35	law	0.0461182355490849
35	govern	0.0417124580328096
36	thank	0.253272572886163
36	better	0.101672813123648
36	damn	0.062656857130359
37	like	0.392619404566191
37	thing	0.140229129708634
37	look	0.131834491005231
38	can	0.403099227957483
38	right	0.191613681358838
38	respect	0.0737748154377107
39	love	0.377679800611739
39	let	0.107851476530756
39	back	0.100098775019474
40	everyon	0.124791339507889
40	speak	0.0669236315859505
40	exact	0.0635049647479022
41	one	0.515160879161498
41	anoth	0.108465709939829
41	last	0.0771016497804896
42	man	0.330430794773867
42	black	0.24992734736426
42	gotta	0.0211452678648112
43	veri	0.221465801089249
43	job	0.139429336627443
43	point	0.111575412857577
44	call	0.171197133228727
44	state	0.0855591777088849
44	biden	0.0706024770227466
45	race	0.113673045523805
45	racism	0.0695962607798796
45	group	0.0274820492835065
46	god	0.0433708602975972
46	jesus	0.0300091135456357
46	shall	0.0189563961200764
47	success	0.0913847572589599
47	entrepreneur	0.088087237247281
47	becom	0.0437843601974023
48	ask	0.095374797822437
48	offic	0.0913151194442722
48	didnt	0.0753016416666113
49	book	0.0365299285334182
49	son	0.0259588570336952
49	🔥🔥🔥	0.025085307019221
50	busi	0.378153218692606
50	becaus	0.127491067434725
50	support	0.0934070349455532
51	put	0.1410682568573
51	said	0.129281570221649
51	place	0.0967464542388126
52	good	0.246702642380547
52	inspir	0.142826644944159
52	song	0.139632677179374
53	color	0.150051961187687
53	skin	0.0995748342787617
53	base	0.0655690889730133
54	servic	0.0800365823248608
54	custom	0.065024171211752
54	bad	0.0597961250373978
55	dont	0.39187479640439
55	never	0.179275739882961
55	happen	0.0954028889713133
56	keep	0.136512665401574
56	day	0.091008879826588
56	everi	0.0829491425853111
57	time	0.253365326948282
57	way	0.1638005323895
57	long	0.0618066066117905
58	hate	0.117382687361526
58	sound	0.0793302537475177
58	self	0.0362034511671511
59	noth	0.136344225534047
59	bro	0.0604648269886608
59	ignor	0.0531304475774287
60	done	0.0459322503033215
60	invest	0.0456380201201454
60	credit	0.0393563657815968
61	yes	0.211244145172893
61	run	0.172420896870838
61	florida	0.0590419051664436
62	well	0.139240381913477
62	life	0.083141016968859
62	true	0.0658911048423067
63	mani	0.245596679272209
63	next	0.121416386361129
63	believ	0.100370834755448
